"","rhat","ess_bulk","ess_tail","median","mean","sd","CRI_lower","CRI_upper","shrinkage","RSE"
"s[1]",1.0008386527061,4487,8646,0.194,0.195,0.017,0.169,0.225,0.046,8.9
"s[2]",0.99998510065409,11324,18416,0.216,0.218,0.018,0.19,0.249,0.015,8.2
"s[3]",1.00007309223935,12054,19156,0.226,0.227,0.026,0.187,0.272,0.045,11.4
"s[4]",1.00015581375506,8988,17356,0.285,0.287,0.029,0.242,0.336,0.02,10.1
"s[5]",1.00006668150294,9949,16917,0.27,0.272,0.028,0.228,0.32,0.027,10.3
"s[6]",1.00009248499383,9777,17256,0.223,0.224,0.019,0.195,0.257,0.002,8.5
