"","BFLH","GRA","MG","SOL","VL"
"BFLH",NA,0.002,0.393,0.221,0.103
"GRA",0.896,NA,0.896,0.867,0.871
"MG",0.438,0.002,NA,0.266,0.096
"SOL",0.654,0.031,0.601,NA,0.229
"VL",0.794,0.027,0.796,0.667,NA
