"","BFLH","GRA","MG","SOL","VL"
"Overall",0.18,0.883,0.2,0.379,0.571
"<=SMWT396",0.194,0.987,0.227,0.42,0.639
">SMWT396",0.094,0.237,0.033,0.125,0.149
