"SMWT","Muscle","Weight","CI_Lower","CI_Upper"
310,"MG",0.101,0,0.275
310,"SOL",0.092,0,0.271
310,"VL",0.21,0.043,0.368
320,"BFLH",0.025,0,0.127
320,"GRA",0.571,0.374,0.797
320,"MG",0.101,0,0.275
320,"SOL",0.092,0,0.271
320,"VL",0.21,0.043,0.368
330,"BFLH",0.026,0,0.128
330,"GRA",0.571,0.374,0.796
330,"MG",0.1,0,0.274
330,"SOL",0.093,0,0.272
330,"VL",0.211,0.044,0.368
340,"BFLH",0.026,0,0.128
340,"GRA",0.57,0.374,0.795
340,"MG",0.1,0,0.273
340,"SOL",0.093,0,0.272
340,"VL",0.211,0.044,0.368
350,"BFLH",0.026,0,0.129
350,"GRA",0.57,0.374,0.794
350,"MG",0.1,0,0.273
350,"SOL",0.093,0,0.273
350,"VL",0.211,0.044,0.368
360,"BFLH",0.026,0,0.129
360,"GRA",0.57,0.374,0.793
360,"MG",0.099,0,0.273
360,"SOL",0.094,0,0.273
360,"VL",0.211,0.044,0.368
370,"BFLH",0.026,0,0.13
370,"GRA",0.569,0.374,0.793
370,"MG",0.099,0,0.274
370,"SOL",0.094,0,0.273
370,"VL",0.212,0.044,0.368
380,"BFLH",0.026,0,0.13
380,"GRA",0.569,0.374,0.792
380,"MG",0.099,0,0.274
380,"SOL",0.094,0,0.273
380,"VL",0.212,0.044,0.368
390,"BFLH",0.027,0,0.131
390,"GRA",0.569,0.373,0.792
390,"MG",0.098,0,0.274
390,"SOL",0.095,0,0.273
390,"VL",0.212,0.045,0.368
400,"BFLH",0.027,0,0.132
400,"GRA",0.568,0.374,0.791
400,"MG",0.098,0,0.274
400,"SOL",0.095,0,0.274
400,"VL",0.212,0.046,0.368
410,"BFLH",0.027,0,0.132
410,"GRA",0.568,0.374,0.791
410,"MG",0.097,0,0.274
410,"SOL",0.095,0,0.274
410,"VL",0.212,0.046,0.367
420,"BFLH",0.027,0,0.133
420,"GRA",0.568,0.374,0.79
420,"MG",0.097,0,0.274
420,"SOL",0.096,0,0.274
420,"VL",0.212,0.047,0.367
430,"BFLH",0.027,0,0.133
430,"GRA",0.567,0.374,0.79
430,"MG",0.097,0,0.273
430,"SOL",0.096,0,0.275
430,"VL",0.213,0.048,0.367
440,"BFLH",0.028,0,0.134
