"","BFLH","GRA","MG","SOL","VL"
"BFLH",NA,0.001,0.428,0.24,0.106
"GRA",0.999,NA,0.999,0.972,0.977
"MG",0.5,0.001,NA,0.302,0.106
"SOL",0.735,0.028,0.668,NA,0.248
"VL",0.894,0.023,0.888,0.751,NA
